run_id,condition,interface,frame_no,timestamp,src,dst,sport,dport,typeid,cot,ioa
attack_fw_only_002,attack_fw_only,DSS3ASW-eth2,73,13.108239111,1.1.10.10,1.1.3.1,54246,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS3ASW-eth2,80,13.527393638,1.1.10.10,1.1.3.1,54246,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS3GW-eth1,60,13.154424758,1.1.10.10,1.1.3.1,54246,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS3GW-eth1,65,13.434762011,1.1.10.10,1.1.3.1,54246,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS3GW-eth1,70,13.684906570,1.1.10.10,1.1.3.1,54246,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS3GW-eth1,75,13.935082378,1.1.10.10,1.1.3.1,54246,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS3GW-eth1,82,14.354237321,1.1.10.10,1.1.3.1,54246,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS3GW-eth2,58,12.327580866,1.1.10.10,1.1.3.1,54246,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS3GW-eth2,63,12.607918161,1.1.10.10,1.1.3.1,54246,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS3GW-eth2,68,12.858062553,1.1.10.10,1.1.3.1,54246,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS3GW-eth2,73,13.108238069,1.1.10.10,1.1.3.1,54246,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS3GW-eth2,80,13.527393346,1.1.10.10,1.1.3.1,54246,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS4ASW-eth1,68,14.849962398,1.1.10.10,1.1.4.1,56370,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS4ASW-eth1,77,15.100149164,1.1.10.10,1.1.4.1,56370,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS4ASW-eth1,82,15.350304764,1.1.10.10,1.1.4.1,56370,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS4ASW-eth1,87,15.600477489,1.1.10.10,1.1.4.1,56370,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS4ASW-eth1,92,15.850620714,1.1.10.10,1.1.4.1,56370,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS4ASW-eth2,68,14.849952732,1.1.10.10,1.1.4.1,56370,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS4ASW-eth2,77,15.100140373,1.1.10.10,1.1.4.1,56370,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS4ASW-eth2,82,15.350294931,1.1.10.10,1.1.4.1,56370,2404,46,6,5002
